Source,Destination,Distance
Anaheim,Oakland,4879
Atlanta,Dallas,4844
Indianapolis,LasVegas,4687
Seattle,Indianapolis,4238
Nashville,Arlington,4627
Omaha,Indianapolis,3653
LosAngeles,Washington,4044
Houston,Albuquerque,3565
LasVegas,Louisville,4623
Chicago,Atlanta,193
LongBeach,Memphis,4529
Austin,LongBeach,2763
VirginiaBeach,Cleveland,3619
Milwaukee,ColoradoSprings,2495
Mesa,Seattle,2524
Oakland,Minneapolis,2037
OklahomaCity,SanDiego,312
Columbus,LosAngeles,1596
ElPaso,Memphis,3818
Dallas,Tucson,4173
Louisville,ColoradoSprings,3561
Columbus,Memphis,3751
Jacksonville,Washington,1810
SantaAna,Austin,4459
Raleigh,VirginiaBeach,2370
NewOrleans,Tulsa,3872
Charlotte,Memphis,2371
Sacramento,SantaAna,1484
SantaAna,Seattle,141
Aurora,Tampa,3785
Cleveland,Sacramento,406
Seattle,NewOrleans,3130
Albuquerque,OklahomaCity,4771
FortWorth,Fresno,1861
Washington,Phoenix,3238
Minneapolis,Oakland,4580
Omaha,Portland,4014
Sacramento,Dallas,3458
Baltimore,Cleveland,3929
Tulsa,Aurora,493
Mesa,Omaha,4268
Tampa,Indianapolis,519
Honolulu,Boston,366
Raleigh,Houston,3678
ElPaso,NewYork,1971
Washington,Raleigh,4150
KansasCity,Arlington,1571
Sacramento,FortWorth,3389
Miami,Austin,3394
Wichita,SantaAna,1485
Anaheim,Arlington,1195
Louisville,Milwaukee,4692
Tucson,LongBeach,3951
Arlington,Denver,257
VirginiaBeach,Anaheim,4937
Fresno,ColoradoSprings,3710
Sacramento,Tucson,1868
Oakland,Aurora,675
NewYork,LosAngeles,4116
Miami,Arlington,4483
LongBeach,SanAntonio,3600
Tampa,Atlanta,288
Sacramento,SanAntonio,3335
Tampa,Portland,752
Nashville,Atlanta,3173
Philadelphia,SanAntonio,1295
Fresno,LasVegas,4671
Tulsa,Atlanta,3930
Portland,Tampa,3586
Nashville,Bakersfield,4622
Bakersfield,LosAngeles,4826
Atlanta,Tucson,4692
Wichita,Omaha,4240
Sacramento,Atlanta,3286
Memphis,VirginiaBeach,1300
Portland,Cleveland,1635
Philadelphia,ColoradoSprings,588
Oakland,Honolulu,656
Charlotte,Fresno,2386
SanAntonio,Philadelphia,3717
SantaAna,Philadelphia,4366
Honolulu,Miami,456
SanFrancisco,ElPaso,4277
Denver,Dallas,3128
Washington,Louisville,740
ColoradoSprings,FortWorth,2683
Indianapolis,ElPaso,4114
VirginiaBeach,SantaAna,2157
Louisville,Columbus,618
SanFrancisco,Milwaukee,2830
Philadelphia,Bakersfield,3138
SanDiego,Dallas,365
NewOrleans,Philadelphia,4456
Mesa,Dallas,1916
Sacramento,Aurora,3220
SantaAna,Louisville,1607
Nashville,Milwaukee,4673
Nashville,SantaAna,3238
Tucson,Anaheim,1214
SanAntonio,Chicago,765
Bakersfield,Denver,1509
Sacramento,Albuquerque,1171
Seattle,Mesa,111
Jacksonville,Albuquerque,3843
Atlanta,SanAntonio,124
Denver,Wichita,1621
Cleveland,SantaAna,3276
Indianapolis,Sacramento,3342
SanFrancisco,Tucson,1188
SanAntonio,Tampa,4810
NewYork,NewOrleans,710
Tulsa,Jacksonville,4170
Arlington,FortWorth,3097
SanFrancisco,FortWorth,4846
ElPaso,Tulsa,739
Phoenix,Tucson,1181
SantaAna,Miami,1168
SanAntonio,Memphis,3556
Houston,Honolulu,4232
Houston,OklahomaCity,2249
Minneapolis,Bakersfield,3015
Denver,Oakland,4450
Phoenix,FortWorth,2870
SanAntonio,Indianapolis,4655
Mesa,Milwaukee,4899
Bakersfield,Washington,4874
ElPaso,Sacramento,2294
SantaAna,OklahomaCity,101
Bakersfield,Detroit,1494
Aurora,Portland,4286
Baltimore,Tulsa,4643
SanDiego,Detroit,2694
Columbus,Seattle,983
SantaAna,Portland,1389
Portland,Tampa,4485
Miami,NewOrleans,4004
ColoradoSprings,Aurora,414
Mesa,Nashville,405
Houston,Atlanta,2042
Houston,Omaha,3700
Albuquerque,Jacksonville,4260
Miami,Nashville,1361
Nashville,Portland,3337
Indianapolis,Tucson,3757
Omaha,Anaheim,3916
Dallas,Columbus,4948
Houston,Seattle,3214
Bakersfield,Mesa,3802
Nashville,Cleveland,2902
Aurora,Anaheim,583
Albuquerque,Atlanta,2214
Houston,Honolulu,2640
Bakersfield,LasVegas,2274
SantaAna,Albuquerque,2345
ColoradoSprings,Louisville,3761
Memphis,NewOrleans,3485
Oakland,SantaAna,4671
Charlotte,Miami,1784
NewYork,Dallas,2490
Sacramento,Anaheim,1483
Bakersfield,Chicago,898
Charlotte,Bakersfield,3467
Aurora,Dallas,559
Chicago,SanAntonio,1742
SantaAna,Aurora,2976
Jacksonville,SanFrancisco,2675
Memphis,Raleigh,627
Memphis,Jacksonville,4221
Bakersfield,Milwaukee,1962
SanAntonio,FortWorth,3979
Tucson,Boston,1266
Honolulu,Philadelphia,1998
Portland,Arlington,3595
Detroit,VirginiaBeach,4797
LasVegas,SantaAna,4910
Austin,Tucson,1638
Mesa,Detroit,2049
Atlanta,Arlington,995
Tulsa,Nashville,4423
VirginiaBeach,Memphis,1469
FortWorth,Minneapolis,1214
SantaAna,SanAntonio,3144
Charlotte,ColoradoSprings,3638
Detroit,Baltimore,653
Anaheim,Philadelphia,1202
Arlington,Tulsa,2309
NewYork,Omaha,3555
Dallas,LosAngeles,4278
Miami,Detroit,2593
Sacramento,Seattle,557
Honolulu,LosAngeles,2178
Bakersfield,Arlington,4761
Bakersfield,Tampa,3156
Mesa,Portland,3810
Portland,Tucson,1118
LosAngeles,KansasCity,4651
NewYork,Minneapolis,347
Nashville,Tucson,699
Indianapolis,Honolulu,110
Austin,Tampa,3884
Arlington,LasVegas,3803
Tulsa,Omaha,2448
Chicago,Louisville,1640
Sacramento,Seattle,2544
SantaAna,Anaheim,4672
Philadelphia,Arlington,3470
SantaAna,NewOrleans,1749
Jacksonville,Fresno,3879
LasVegas,Baltimore,1749
Fresno,FortWorth,4462
Memphis,SanAntonio,123
Miami,Fresno,3037
Louisville,Columbus,1160
Miami,NewYork,1787
SanFrancisco,Cleveland,3131
Minneapolis,Phoenix,1775
Honolulu,Memphis,211
Arlington,ElPaso,139
Nashville,Dallas,1773
Denver,Milwaukee,1765
NewYork,Indianapolis,4221
Boston,Omaha,860
Sacramento,Bakersfield,4870
Anaheim,KansasCity,4830
Chicago,SanFrancisco,2169
Portland,Albuquerque,2064
Detroit,Portland,1837
VirginiaBeach,Aurora,1216
FortWorth,SanDiego,3346
Aurora,Tulsa,430
KansasCity,Philadelphia,902
SantaAna,Cleveland,2264
ColoradoSprings,Anaheim,769
Sacramento,Portland,3272
Anaheim,Milwaukee,1379
Tulsa,Tucson,2275
NewOrleans,Houston,2563
SanFrancisco,Milwaukee,532
LasVegas,ElPaso,2025
OklahomaCity,Seattle,3704
OklahomaCity,Albuquerque,1819
Wichita,Arlington,590
Philadelphia,Phoenix,4905
VirginiaBeach,Phoenix,3483
Portland,LongBeach,2036
Dallas,Tampa,3896
VirginiaBeach,NewOrleans,1337
Milwaukee,Philadelphia,3882
Detroit,Raleigh,2435
Albuquerque,Wichita,3459
Wichita,Tampa,215
Anaheim,Arlington,3360
Milwaukee,VirginiaBeach,1592
Phoenix,OklahomaCity,568
Aurora,SantaAna,1873
Bakersfield,ColoradoSprings,1283
VirginiaBeach,Louisville,1070
SanDiego,Chicago,2803
Aurora,KansasCity,606
Phoenix,Chicago,2598
Dallas,Denver,4564
Dallas,SanFrancisco,3118
Philadelphia,SantaAna,2725
Indianapolis,LosAngeles,4910
Milwaukee,Indianapolis,1637
Mesa,Sacramento,100
Tulsa,Columbus,3580
Denver,Aurora,3824
Baltimore,Charlotte,872
Atlanta,Baltimore,793
LasVegas,Anaheim,2127
Milwaukee,Portland,197
Bakersfield,Memphis,3606
Aurora,Phoenix,830
Tucson,Washington,1764
Tampa,Nashville,2999
Tampa,SanDiego,3773
Atlanta,NewYork,3743
Mesa,Dallas,1024
SanDiego,LosAngeles,703
Seattle,KansasCity,588
Anaheim,LasVegas,2125
OklahomaCity,KansasCity,4958
NewYork,Chicago,507
Austin,Nashville,2223
Oakland,Minneapolis,91
Anaheim,ElPaso,4071
Tampa,Philadelphia,1228
Seattle,Jacksonville,2766
VirginiaBeach,Memphis,409
VirginiaBeach,Charlotte,2851
LasVegas,Phoenix,2384
Cleveland,Chicago,2708
Phoenix,Indianapolis,4121
NewOrleans,Omaha,3103
LongBeach,ElPaso,3998
LasVegas,Denver,269
Louisville,Honolulu,740
KansasCity,ColoradoSprings,590
Denver,OklahomaCity,3219
Austin,Tampa,4713
Cleveland,Tulsa,2379
Aurora,Raleigh,1994
Mesa,Tampa,1778
Jacksonville,Mesa,737
FortWorth,Aurora,1020
Arlington,Philadelphia,590
Milwaukee,Wichita,2591
Milwaukee,Raleigh,1577
Aurora,Raleigh,642
Denver,Fresno,4800
VirginiaBeach,Seattle,4409
Austin,Portland,1809
NewYork,Aurora,1533
SanDiego,Tampa,3925
Milwaukee,Louisville,3348
Raleigh,Dallas,3136
Albuquerque,Indianapolis,993
FortWorth,Tucson,724
Austin,Baltimore,3940
Raleigh,Detroit,4902
Dallas,Washington,4589
Atlanta,Louisville,4001
Charlotte,SanAntonio,104
SantaAna,Atlanta,1688
NewOrleans,Charlotte,972
VirginiaBeach,Jacksonville,3385
Chicago,NewYork,3280
Anaheim,Raleigh,3622
Tucson,FortWorth,316
Sacramento,LongBeach,3758
OklahomaCity,Denver,4151
NewOrleans,Portland,2994
Albuquerque,Austin,3733
Bakersfield,ColoradoSprings,2949
Dallas,Portland,1519
Mesa,Denver,2012
Milwaukee,Arlington,3156
Tulsa,Cleveland,3293
NewOrleans,OklahomaCity,3259
Aurora,Omaha,924
SantaAna,Houston,1819
Denver,Baltimore,2798
LosAngeles,Baltimore,1007
ElPaso,Austin,1507
Cleveland,Tucson,1253
Omaha,Denver,2160
Louisville,Miami,476
Philadelphia,LasVegas,1032
Denver,NewYork,4986
SanAntonio,Indianapolis,1702
Chicago,Tulsa,2769
KansasCity,Bakersfield,4766
Sacramento,Raleigh,2835
Portland,Arlington,1793
LosAngeles,Anaheim,1498
Jacksonville,Albuquerque,365
Dallas,Columbus,852
Albuquerque,Wichita,3104
Charlotte,LongBeach,2275
SanDiego,Houston,1162
OklahomaCity,Anaheim,2081
Baltimore,SantaAna,4457
Columbus,Dallas,206
Charlotte,SanAntonio,1029
Charlotte,Nashville,4696
Mesa,Detroit,3116
Albuquerque,NewOrleans,4823
SanFrancisco,Miami,1154
Philadelphia,Fresno,3872
Louisville,SanDiego,1774
Portland,Arlington,3135
ColoradoSprings,Bakersfield,4759
SanAntonio,Washington,791
Minneapolis,NewYork,967
Tucson,Mesa,841
Houston,VirginiaBeach,2731
Jacksonville,Arlington,3584
SanFrancisco,Charlotte,2645
Boston,NewYork,3185
VirginiaBeach,Chicago,657
SanAntonio,Phoenix,3383
Boston,Atlanta,4399
Austin,SanAntonio,1107
Tampa,Milwaukee,165
Bakersfield,Fresno,1150
Jacksonville,SantaAna,155
Atlanta,Omaha,1186
ColoradoSprings,Baltimore,2408
Raleigh,Columbus,2032
ElPaso,SanAntonio,3335
Nashville,Fresno,3885
ColoradoSprings,Minneapolis,4274
Indianapolis,Austin,133
LosAngeles,Detroit,196
Chicago,NewOrleans,1314
ElPaso,Jacksonville,1853
NewYork,Baltimore,4458
Cleveland,Seattle,4276
Mesa,Minneapolis,4052
Indianapolis,Columbus,775
Milwaukee,Minneapolis,1928
Miami,Columbus,4160
Washington,Mesa,1542
Tulsa,Bakersfield,144
SanFrancisco,Wichita,4901
Anaheim,Memphis,2111
Milwaukee,Portland,2115
Houston,Baltimore,2265
Atlanta,Memphis,1309
Seattle,Houston,769
Charlotte,Louisville,3913
SantaAna,Arlington,3828
LasVegas,Phoenix,3608
Minneapolis,Milwaukee,4786
Atlanta,Denver,4440
Omaha,Memphis,2331
Washington,SanDiego,4750
Austin,Atlanta,4833
Milwaukee,LosAngeles,4981
Indianapolis,Philadelphia,780
Atlanta,Seattle,2151
Fresno,ColoradoSprings,1004
NewYork,Louisville,142
LongBeach,Raleigh,1917
Milwaukee,Minneapolis,483
OklahomaCity,SanFrancisco,2564
Mesa,Washington,4794
Detroit,Cleveland,4085
Memphis,Wichita,1290
LosAngeles,Honolulu,2621
ElPaso,Honolulu,2731
LosAngeles,SanDiego,3672
Bakersfield,Indianapolis,3291
SanFrancisco,Nashville,4100
Chicago,Miami,4817
Omaha,Minneapolis,1920
Minneapolis,Raleigh,3559
Boston,NewYork,4465
Anaheim,Albuquerque,2260
Milwaukee,NewOrleans,3556
Baltimore,Indianapolis,1242
Phoenix,SanDiego,3440
Fresno,Bakersfield,3279
Arlington,SanFrancisco,2521
Arlington,LosAngeles,910
Jacksonville,LongBeach,1925
KansasCity,Miami,1381
Phoenix,Memphis,3498
Albuquerque,Memphis,4309
Bakersfield,Milwaukee,3247
Philadelphia,LongBeach,3115
Tulsa,Albuquerque,4814
Milwaukee,Albuquerque,3709
Boston,Portland,1461
Columbus,Mesa,3716
LongBeach,Tulsa,1587
Wichita,Louisville,4401
Baltimore,Seattle,2705
Austin,LosAngeles,490
Albuquerque,Dallas,2731
Jacksonville,Miami,479
Detroit,Tulsa,3013
SanAntonio,Albuquerque,1031
Anaheim,Miami,3324
Sacramento,Phoenix,2294
SanAntonio,Oakland,1049
Oakland,SantaAna,3815
Bakersfield,Washington,1276
Philadelphia,Cleveland,257
Milwaukee,Denver,2749
Columbus,Milwaukee,1283
Dallas,Portland,4747
Aurora,Arlington,1641
Seattle,Portland,662
Denver,Indianapolis,1155
Albuquerque,SantaAna,2763
Anaheim,Chicago,3433
SantaAna,Washington,3462
Albuquerque,Portland,1507
Baltimore,Atlanta,517
SanDiego,Minneapolis,3568
Chicago,Minneapolis,780
Bakersfield,SanFrancisco,4750
Seattle,Boston,1924
Wichita,VirginiaBeach,1713
Wichita,LasVegas,582
Albuquerque,Portland,1481
Portland,LosAngeles,592
OklahomaCity,Denver,696
SanDiego,Baltimore,4030
Tucson,Raleigh,2806
Boston,Omaha,2769
Baltimore,Charlotte,2371
NewOrleans,Omaha,2559
Anaheim,Mesa,4090
Jacksonville,Baltimore,839
Omaha,Arlington,3941
Miami,Jacksonville,3758
OklahomaCity,Chicago,1587
Boston,Raleigh,4968
LosAngeles,Miami,4132
Minneapolis,Tulsa,4294
Portland,Louisville,1488
FortWorth,Omaha,1689
Aurora,Louisville,395
Tampa,Nashville,4744
Chicago,Columbus,1351
Fresno,Houston,2984
Sacramento,Fresno,495
SanDiego,SanFrancisco,2864
Albuquerque,NewYork,1879
Baltimore,Columbus,2401
Arlington,Charlotte,4845
Cleveland,ColoradoSprings,2317
NewOrleans,SanDiego,3121
Tampa,SanDiego,1300
Baltimore,Seattle,2539
Chicago,LosAngeles,4456
VirginiaBeach,Dallas,1437
Miami,Boston,940
Indianapolis,Memphis,2289
Wichita,Sacramento,2497
Tucson,Wichita,3067
Nashville,Milwaukee,4368
Austin,ElPaso,1477
Indianapolis,NewYork,4400
Indianapolis,Tampa,1572
Cleveland,Baltimore,4509
Omaha,Cleveland,2153
OklahomaCity,Charlotte,2844
Indianapolis,Houston,4920
VirginiaBeach,Milwaukee,2163
SanDiego,Aurora,839
Bakersfield,Phoenix,3117
Honolulu,Tucson,3864
LongBeach,Jacksonville,241
Tulsa,Tucson,1500
Seattle,Oakland,2140
Oakland,Atlanta,2700
Baltimore,Tucson,3906
Tampa,Tulsa,1243
FortWorth,SanAntonio,2332
Wichita,SantaAna,4322
ColoradoSprings,Indianapolis,3052
Sacramento,Seattle,4569
NewOrleans,Boston,2040
Atlanta,Sacramento,100
Dallas,NewYork,843
Indianapolis,Denver,3837
Austin,SanAntonio,1015
Nashville,Cleveland,1215
Minneapolis,Tucson,499
Houston,Charlotte,1037
NewYork,ColoradoSprings,3471
SantaAna,KansasCity,1971
Charlotte,Atlanta,4846
Baltimore,SanDiego,1770
Wichita,Oakland,2681
Cleveland,VirginiaBeach,4824
ColoradoSprings,Louisville,3714
NewYork,Seattle,4330
Milwaukee,LasVegas,2403
Omaha,ElPaso,2502
Omaha,Philadelphia,1744
Nashville,LongBeach,3766
Indianapolis,Houston,1443
Nashville,Atlanta,4535
SanFrancisco,Minneapolis,4791
Anaheim,Atlanta,394
Bakersfield,SanAntonio,701
NewYork,Cleveland,4134
NewYork,Memphis,1921
Miami,Philadelphia,4683
VirginiaBeach,Philadelphia,1546
Atlanta,Mesa,3136
Albuquerque,OklahomaCity,1486
Omaha,Tulsa,4362
Portland,Arlington,2418
Charlotte,Tampa,1794
Boston,Albuquerque,2488
Wichita,ElPaso,3053
Boston,Oakland,3597
Denver,Portland,3788
SantaAna,Memphis,3339
Baltimore,Seattle,3815
SantaAna,Dallas,3946
Columbus,Nashville,50
Honolulu,Memphis,222
Milwaukee,Tampa,4361
Phoenix,Charlotte,201
LasVegas,Bakersfield,3673
KansasCity,LosAngeles,802
FortWorth,ElPaso,4877
Aurora,Seattle,1861
Portland,SanDiego,1876
LongBeach,Arlington,1681
VirginiaBeach,Indianapolis,2409
Austin,Indianapolis,1884
Fresno,Portland,3148
Tulsa,Minneapolis,2284
SantaAna,Wichita,1211
Denver,Sacramento,1623
Tucson,Detroit,729
NewYork,VirginiaBeach,4954
Albuquerque,Charlotte,4525
Indianapolis,Jacksonville,1194
ElPaso,Atlanta,1882
Portland,Washington,1736
OklahomaCity,Bakersfield,429
Austin,VirginiaBeach,1176
Austin,OklahomaCity,1010
Miami,Memphis,4495
Bakersfield,Raleigh,2039
Sacramento,Tampa,4590
Anaheim,KansasCity,4740
Nashville,Austin,1763
Philadelphia,Indianapolis,419
Phoenix,Louisville,822
Anaheim,Raleigh,4237
Cleveland,Seattle,1617
Charlotte,Minneapolis,677
SanDiego,SanAntonio,3939
Sacramento,SanFrancisco,2784
SantaAna,NewOrleans,2207
Honolulu,Tampa,1590
Washington,Milwaukee,2246
Philadelphia,Jacksonville,218
Denver,Houston,1045
Arlington,Anaheim,3737
ElPaso,KansasCity,130
LasVegas,ColoradoSprings,409
Indianapolis,Minneapolis,2858
SanFrancisco,LosAngeles,152
OklahomaCity,Milwaukee,1871
Tampa,Arlington,3787
ColoradoSprings,FortWorth,414
Austin,SanFrancisco,4549
Bakersfield,Indianapolis,1311
KansasCity,Aurora,2911
Chicago,SanAntonio,3129
Albuquerque,LasVegas,924
Portland,Philadelphia,3015
Houston,Memphis,2761
Nashville,Dallas,4963
Miami,Tucson,933
LosAngeles,Miami,1026
SanDiego,Louisville,2874
Albuquerque,Austin,1417
Mesa,Boston,3205
Jacksonville,Fresno,196
Wichita,SanAntonio,277
Louisville,Tulsa,2074
NewYork,SanDiego,2580
LongBeach,KansasCity,2109
SanAntonio,Philadelphia,2657
Fresno,Louisville,4334
Nashville,Sacramento,349
Columbus,Mesa,2134
Raleigh,Houston,4768
Columbus,ColoradoSprings,3645
Omaha,Atlanta,1488
Albuquerque,Aurora,1460
KansasCity,FortWorth,681
SanFrancisco,Baltimore,3456
Bakersfield,Miami,2741
KansasCity,NewYork,4744
Nashville,Tucson,4709
SanFrancisco,ColoradoSprings,3849
OklahomaCity,Aurora,3642
Nashville,Baltimore,521
Chicago,Houston,1150
NewYork,SanFrancisco,2602
Charlotte,SanFrancisco,601
Houston,Bakersfield,4585
Boston,Honolulu,3072
Baltimore,VirginiaBeach,4281
Baltimore,Honolulu,3508
Detroit,ColoradoSprings,1843
Chicago,Albuquerque,290
Bakersfield,Chicago,2229
Anaheim,Arlington,1340
Wichita,Seattle,4265
OklahomaCity,Raleigh,4954
Austin,Louisville,1835
Minneapolis,Portland,1327
Austin,Tucson,4260
ElPaso,LongBeach,3921
Bakersfield,Denver,1423
Miami,Chicago,4604
Sacramento,Arlington,294
Louisville,Raleigh,2350
Jacksonville,Bakersfield,1718
Dallas,NewYork,3727
LongBeach,Omaha,4053
Cleveland,Denver,2288
Cleveland,Phoenix,446
SanDiego,NewOrleans,2144
Arlington,Miami,4771
Austin,Wichita,3065
Albuquerque,Memphis,4321
Anaheim,Boston,2864
Minneapolis,Washington,1311
LosAngeles,Albuquerque,2100
ElPaso,OklahomaCity,3228
Jacksonville,Seattle,3343
Washington,OklahomaCity,1282
Dallas,Chicago,3418
Aurora,Omaha,2385
Wichita,Tampa,4277
SanDiego,NewOrleans,3109
SanAntonio,Nashville,2904
Minneapolis,Sacramento,2888
Dallas,Arlington,4738
Memphis,Nashville,4360
Chicago,Houston,2657
OklahomaCity,Fresno,4848
Indianapolis,SanAntonio,809
Austin,Indianapolis,1541
Sacramento,Detroit,111
Omaha,OklahomaCity,1243
Washington,Baltimore,662
Sacramento,VirginiaBeach,1739
Chicago,ElPaso,2762
Dallas,Indianapolis,3886
Boston,Atlanta,4120
Columbus,Houston,737
Cleveland,Omaha,98
NewYork,KansasCity,3810
Sacramento,Milwaukee,3781
Austin,Bakersfield,4061
Milwaukee,Portland,973
Houston,Sacramento,4982
Albuquerque,Milwaukee,3649
Seattle,Minneapolis,1320
Houston,ColoradoSprings,4823
Fresno,Nashville,887
Houston,Charlotte,334
SanDiego,Atlanta,2560
VirginiaBeach,LosAngeles,620
Austin,Portland,3683
FortWorth,LosAngeles,1676
Atlanta,Cleveland,416
Oakland,Denver,2073
Charlotte,Fresno,3515
Louisville,Seattle,3664
LongBeach,Chicago,3176
Minneapolis,Indianapolis,1442
Tampa,Chicago,1009
Boston,Nashville,3819
Arlington,Sacramento,4747
Nashville,SantaAna,854
Dallas,Anaheim,2379
NewOrleans,Cleveland,2019
SantaAna,Memphis,4863
Bakersfield,Oakland,1710
Honolulu,Houston,4363
Miami,Philadelphia,2068
Austin,Baltimore,3587
Seattle,OklahomaCity,2560
Portland,SanDiego,1948
Tucson,Atlanta,2545
Tucson,Austin,4277
Memphis,VirginiaBeach,4499
Charlotte,Honolulu,1010
Omaha,ElPaso,921
Louisville,Columbus,1960
Memphis,ColoradoSprings,2463
SanFrancisco,Sacramento,3255
OklahomaCity,Chicago,2509
Columbus,OklahomaCity,1558
SanFrancisco,Milwaukee,4791
ColoradoSprings,Mesa,2829
Anaheim,SanFrancisco,2116
Boston,ColoradoSprings,1770
Washington,SantaAna,4591
NewOrleans,Austin,3602
Raleigh,Sacramento,4472
Indianapolis,NewYork,3600
SantaAna,Charlotte,4952
SanAntonio,Columbus,3550
Portland,LosAngeles,1733
Portland,Denver,3468
Washington,Chicago,2077
Memphis,Dallas,3173
Oakland,Indianapolis,916
SanDiego,Miami,3647
Philadelphia,VirginiaBeach,4057
Mesa,Tampa,4938
VirginiaBeach,KansasCity,1772
ColoradoSprings,KansasCity,3796
Houston,FortWorth,1305
Philadelphia,Sacramento,3109
Aurora,Cleveland,2101
Fresno,NewOrleans,291
Minneapolis,Anaheim,683
Tulsa,Detroit,625
Omaha,Atlanta,553
Anaheim,SanFrancisco,2183
Philadelphia,ColoradoSprings,1814
Memphis,Seattle,934
Atlanta,Seattle,506
Nashville,LongBeach,62
Tulsa,Arlington,4807
Anaheim,KansasCity,1581
Nashville,Cleveland,1784
LosAngeles,Aurora,4917
Arlington,Phoenix,3255
SanDiego,Baltimore,3303
Louisville,Columbus,1128
Omaha,Denver,1931
Charlotte,Indianapolis,1473
Jacksonville,KansasCity,1153
NewYork,Portland,1896
Philadelphia,Tucson,1122
FortWorth,Columbus,3537
Portland,Phoenix,205
Honolulu,FortWorth,3704
Aurora,Washington,3983
Charlotte,ColoradoSprings,660
Milwaukee,Louisville,2937
Phoenix,Indianapolis,3744
Raleigh,Sacramento,2125
Portland,Phoenix,1695
Fresno,Aurora,157
Miami,Bakersfield,4056
Baltimore,Jacksonville,1007
LosAngeles,Jacksonville,901
Houston,SanAntonio,4914
NewOrleans,Memphis,2770
Philadelphia,Wichita,4578
Boston,Honolulu,3899
Arlington,NewYork,1199
Indianapolis,Jacksonville,4629
Sacramento,Tulsa,4659
ColoradoSprings,Chicago,3136
Charlotte,Fresno,2180
Phoenix,Chicago,1991
Charlotte,Aurora,1190
Bakersfield,Austin,500
Albuquerque,Sacramento,4759
Arlington,Louisville,113
Sacramento,Honolulu,2894
Cleveland,Baltimore,3458
ElPaso,Memphis,1988
Wichita,Seattle,1409
Bakersfield,Phoenix,3357
NewOrleans,ElPaso,1918
Sacramento,Jacksonville,1258
LasVegas,Fresno,1499
Omaha,Oakland,2669
Jacksonville,Tampa,1002
Seattle,Mesa,3088
LosAngeles,Portland,3339
FortWorth,OklahomaCity,4575
Chicago,Anaheim,888
NewOrleans,Austin,1431
Detroit,Tampa,1568
Charlotte,Jacksonville,2014
KansasCity,LongBeach,4373
Baltimore,Tucson,3173
ElPaso,NewOrleans,3632
Tulsa,FortWorth,3939
ColoradoSprings,Honolulu,3333
SanFrancisco,Austin,3290
Honolulu,Indianapolis,2995
Austin,Tulsa,3143
FortWorth,KansasCity,2080
Raleigh,Detroit,771
Sacramento,Anaheim,3184
Charlotte,NewOrleans,2866
Dallas,Atlanta,4041
Seattle,Anaheim,1136
Bakersfield,Minneapolis,3537
Minneapolis,Boston,939
Phoenix,LasVegas,3689
LosAngeles,Omaha,2997
Tucson,LongBeach,3898
Sacramento,Columbus,3934
Philadelphia,NewYork,4989
Denver,NewOrleans,4760
Tucson,Omaha,2961
Denver,Columbus,2424
Columbus,Tucson,390
Aurora,Omaha,4850
Fresno,Memphis,102
SanFrancisco,Atlanta,593
Jacksonville,SanDiego,4154
ElPaso,Dallas,3162
Denver,LosAngeles,4690
Mesa,Philadelphia,3049
ColoradoSprings,Seattle,4197
Indianapolis,Columbus,396
Sacramento,Fresno,1527
Austin,Tucson,66
Milwaukee,Bakersfield,1710
Austin,VirginiaBeach,583
OklahomaCity,ElPaso,3019
ColoradoSprings,Mesa,3523
VirginiaBeach,SanFrancisco,4215
Cleveland,Memphis,4849
NewOrleans,Omaha,2825
Denver,Aurora,166
LasVegas,Arlington,3790
ColoradoSprings,NewYork,1767
SantaAna,SanFrancisco,2609
LongBeach,SanDiego,4127
Sacramento,LongBeach,3880
ElPaso,SanDiego,1722
Fresno,Baltimore,3157
Arlington,Nashville,3502
Tucson,Arlington,1423
ColoradoSprings,Philadelphia,4388
SanAntonio,Anaheim,2426
SanAntonio,Jacksonville,3319
SantaAna,SanDiego,3500
Oakland,Arlington,4612
Washington,Aurora,503
ElPaso,Indianapolis,1112
VirginiaBeach,Cleveland,1707
Austin,Jacksonville,3223
ColoradoSprings,Austin,3554
Austin,Miami,3972
VirginiaBeach,Chicago,3089
LasVegas,NewOrleans,4954
Seattle,OklahomaCity,1850
Columbus,Bakersfield,1560
NewOrleans,Wichita,1915
Cleveland,LongBeach,3503
Houston,KansasCity,739
LasVegas,NewOrleans,2430
Tulsa,LasVegas,2126
Raleigh,NewOrleans,2869
Indianapolis,Charlotte,3375
Indianapolis,Louisville,2584
Aurora,Raleigh,3342
Columbus,LasVegas,843
VirginiaBeach,Aurora,1558
Charlotte,Cleveland,756
Phoenix,SantaAna,2114
SanFrancisco,Oakland,2161
KansasCity,Tulsa,1016
Seattle,Atlanta,2856
KansasCity,LosAngeles,3234
Anaheim,Albuquerque,2468
Charlotte,Detroit,2531
Honolulu,Anaheim,1101
LasVegas,KansasCity,4657
Cleveland,Anaheim,3582
Mesa,SanAntonio,2061
Boston,SantaAna,155
Columbus,Anaheim,2460
Tucson,Jacksonville,4863
Aurora,Tulsa,1924
Baltimore,Bakersfield,3545
Seattle,Fresno,4037
Mesa,LosAngeles,3142
FortWorth,Denver,1009
Omaha,Baltimore,947
SanAntonio,Honolulu,3703
Austin,SantaAna,2342
Dallas,Miami,4703
Wichita,Omaha,2676
Mesa,Aurora,3913
Chicago,Mesa,279
Louisville,Tampa,552
